Name,Type,Faction,Category,Legendary,Dedication,Cost,Initiative,Backlash,Damage,Defense,Mentality,Tenacity,Effect1,Effect2,Effect3,,
Ambassador Of Sect13,Dreamshape,Sect13,Void,No,1,7,4,5,1,3,,,Lethal,On Turn End If 3 Cards with [Ambassador] In Its Name From 3 Different Factions Are Alive Reduce Opponents Morale To 0,Only 6 Other Cards With [Ambassador] In Its Name Can Be In The Main Deck,,
Ambusher,Dreamshape,Sect13,Shadow,No,3,5,4,3,1,2,,,Castor,Lethal,,,
Baby Gremlin,Dreamshape,Sect13,Animalistic,No,1,2,4,0,3,1,,,None,,,,
Avenger,Dreamshape,Sect13,Void,No,2,2,4,3,3,2,,,Reimagine[3][On Death Kill Attacker If Killed By A Dreamshape Or Token],,,,
Blob,Dreamshape,Sect13,Shadow,No,1,2,1,2,0,4,,,Poison[1],,,,
Fortifier,Dreamshape,Sect13,Shadow,No,1,5,3,3,6,5,,,None,,,,
Flurgal,Dreamshape,Sect13,Flora,Yes,1,2,2,3,2,1,,,Bash,Reimagine[2][Increase Defense By 2],,,
Mine'ion,Dreamshape,Sect13,Shadow,No,1,3,1,3,2,3,,,Swift,,,,
Ooze,Dreamshape,Sect13,Shadow,No,2,5,4,5,2,10,,,Poison[2],Reimagine[1][Increase To Poison[4]],,,
Pack Leader,Dreamshape,Sect13,Animalistic,No,1,4,4,3,4,3,,,On Spawn Place An Animalistic Card From Discard Into Your Hand,,,,
Puffy,Dreamshape,Sect13,Shadow,No,1,5,4,3,1,9,,,Poison[2],,,,
Prickely,Dreamshape,Sect13,Flora,No,1,4,1,4,4,5,,,None,,,,
Portal Master,Dreamshape,Sect13,Elemental,Yes,1,5,1,4,6,4,,,Kill[Move To An Unoccupied Space],,,,
Rat'ra,Dreamshape,Sect13,Animalistic,No,1,4,1,3,2,2,,,Bash,,,,
Reflector,Dreamshape,Sect13,Elemental,No,2,4,4,2,0,6,,,Active Deal 2 Damage To All Enemies In |  At End Of Combat,,,,
S-249,Dreamshape,Sect13,Mechanical,No,1,3,3,4,5,3,,,None,,,,
Rogue,Dreamshape,Sect13,Shadow,No,2,3,1,3,1,2,,,Poison[2],Drain[1],,,
Show Stopper,Dreamshape,Sect13,Void,No,1,4,4,3,3,2,,,Active Negate All Opponents On Spawn Effects,,,,
Stinger,Dreamshape,Sect13,Shadow,No,2,6,4,5,2,8,,,Lethal,,,,
Surpriser,Dreamshape,Sect13,Elemental,No,1,4,3,4,5,4,,,Reimagine[2][Castor],,,,
Summoner,Dreamshape,Sect13,Void,No,1,5,4,2,2,2,,,On Death You May Place A Dreamshape With Cost 5 Or Less For Free In This Space,,,,
Touchy,Dreamshape,Sect13,Shadow,No,1,5,2,5,2,3,,,Lethal,Reimagine[1][Branch],,,
Trickster,Dreamshape,Sect13,Mechanical,No,1,3,2,1,3,2,,,On Death Move To Any Available Space With 1 Defense; Can Only Do Once,,,,
Vacuum Worm,Dreamshape,Sect13,Shadow,Yes,3,12,1,7,11,3,,,Drain[5],,,,
Vampire,Dreamshape,Sect13,Elemental,No,2,4,4,4,4,5,,,Revitalize[1],Drain[1],,,
Wizard,Dreamshape,Sect13,Elemental,No,2,6,2,4,6,5,,,Kill[Place A Sect13 Distort Or Sect13 Warp From The Discard Into Your Hand],,,,
Asylum HQ,Landmark,Asylum,Void,No,0,2,,,,,,,Dedication[1 Asylum],End Of Turn Return This Landmark To Play If Destroyed,This Card Can Be Played Without Faction Restrictions,,
Boulder,Landmark,Asylum,Flora,No,2,3,,,,,,,Occupied Give Occupying Dreamshape Armor[2],,,,
Command Tent,Landmark,Asylum,Elemental,No,2,4,,,,,,,Occupied Give Occupying Dreamshape Revitalize[3],,,,
Home,Landmark,Asylum,Flora,No,1,4,,,,,,,Occupied Give Occupying Dreamshape Drain[2],,,,
Spawning Pool,Landmark,Asylum,Void,Yes,1,0,,,,,,,Active Place Dreamshapes In This Spot For 1 Less Energy,,,,
Soothing Spa,Landmark,Asylum,Void,No,2,4,,,,,,,On Spawn Give Dreamshape On Death Take No Backlash Damage,,,,
Authority HQ,Landmark,Authority,Void,No,0,2,,,,,,,Dedication[1 Authority],End Of Turn Return This Landmark To Play If Destroyed,This Card Can Be Played Without Faction Restrictions,,
Dam,Landmark,Authority,Void,No,1,2,,,,,,,Active Reduce Cost Of Ally Distorts And Warps Targeting This Space By 2,,,,
Great Garden,Landmark,Authority,Flora,No,1,2,,,,,,,On Spawn All Flora Units Gain 1 Attack And 1 Defense,,,,
Sacred Tree,Landmark,Authority,Void,No,1,6,,,,,,,Occupied Give Occupying Dreamshape On Death Return Dreamshape To Hand,,,,
River,Landmark,Authority,Animalistic,No,1,6,,,,,,,Occupied Give Occupying Dreamshape Overkill,,,,
Substation,Landmark,Authority,Elemental,No,1,2,,,,,,,Occupied Give Occupying Dreamshape Recharge[2],,,,
Trench,Landmark,Authority,Flora,Yes,1,3,,,,,,,Occupied Give Occupying Dreamshape Barrier,,,,
Bomb,Landmark,Havoc,Elemental,No,1,4,,,,,,,Occupied Give Occupying Dreamshape On Death Deal 3 Damage To All Units In |,,,,
Bunker,Landmark,Havoc,Flora,No,1,2,,,,,,,On Spawn Give A Dreamshape 3 Defense,Occupied Occupying Dreamshape Gains Volatile[1],,,
Fountain,Landmark,Havoc,Mechanical,No,1,2,,,,,,,Occupied Give Occupying Dreamshape On Death Gain 2 Energy,When This Landmark Is Destoryed Gain 3 Energy,,,
Geyser,Landmark,Havoc,Animalistic,No,1,6,,,,,,,On Spawn Give Dreamshape 4 Attack,Occupied Occupying Dreamshape Gains Volatile[2],,,
Havoc HQ,Landmark,Havoc,Void,No,1,2,,,,,,,Dedication[1 Havoc],End Of Turn Return This Landmark To Play If Destroyed,,,
Nuclear Plant,Landmark,Havoc,Void,No,1,3,,,,,,,Occupied Give Occupying Dreamshape Kill[Owner Of Dying Dreamshape Discards 1 Card],,,,
Sinkhole,Landmark,Havoc,Elemental,No,1,7,,,,,,,Occupied Give Occupying Dreamshape On Death Destroy A Landmark,,,,
Ambassadors Embassy,Landmark,Mercenary,Void,No,0,2,,,,,,,End Of Turn You May Destroy This Landmark And Search Your Deck For A [Ambassador] Card And Put It In Your Hand And Gain 2 Morale,,,,
Artillery Placement,Landmark,Outlander,Mechanical,No,2,5,,,,,,,Occupied Give Occupying Dreamshape Ranged,,,,
Armor Station,Landmark,Outlander,Flora,No,1,6,,,,,,,On Spawn All Ally Units Gain 1 Defense,,,,
Battery Charger,Landmark,Outlander,Animalistic,No,1,5,,,,,,,End Of Turn Give 1 Attack To Occupying Dreamshape,,,,
Outlander HQ,Landmark,Outlander,Void,No,1,2,,,,,,,Dedication[1 Outlander],End Of Turn Return This Landmark To Play If Destroyed,,,
Peak,Landmark,Outlander,Animalistic,No,1,7,,,,,,,Occupied Give Occupying Dreamshape Bash,,,,
Powerplant,Landmark,Outlander,Void,No,1,3,,,,,,,On Spawn Gain 1 Morale,"End Of Turn You May Destroy This Landmark, If You Do Convert All Energy Into Morale",,,
Shield Generator,Landmark,Outlander,Flora,No,1,3,,,,,,,End Of Turn Give 1 Defense To Occupying Dreamshape,,,,
Weapon Station,Landmark,Outlander,Animalistic,No,1,7,,,,,,,On Spawn All Ally Units Gain 1 Attack,,,,
Armory,Landmark,Sect13,Void,No,1,1,,,,,,,Active Reduce Cost Of Ally Attachments Targeting This Space By 1,,,,
Cannon,Landmark,Sect13,Elemental,No,1,3,,,,,,,Occupied Give Occupying Dreamshape On Death Deal 3 Damage To First Target In |,,,,
Poisoned Lake,Landmark,Sect13,Shadow,No,1,2,,,,,,,Occupied Give Occupying Dreamshape Poison[2],,,,
Recruitment Center,Landmark,Sect13,Shadow,No,1,3,,,,,,,"On Spawn Give Dreamshape On Death Discard A Card, Draw A Card",,,,
Rose Bush,Landmark,Sect13,Flora,No,1,2,,,,,,,Occupied Give Occupying Dreamshape When Attacked Deal 1 Damage To Enemy Units In |,,,,
Sect13 HQ,Landmark,Sect13,Void,No,1,2,,,,,,,Dedication[1 Sect13],End Of Turn Return This Landmark To Play If Destroyed,,,
Spiked Hole,Landmark,Sect13,Shadow,No,1,6,,,,,,,Occupied Give Occupying Dreamshape Lethal,,,,
Bounce,Warp,Asylum,Shadow,Yes,1,6,,,,,,,Return Dreamshape To Owner's Hand; Discard All Attachments,,,,
Cease Fire,Warp,Asylum,Flora,No,1,4,,,,,,,Negate All Damage Next Initiative,,,,
Commander,Warp,Asylum,Shadow,No,1,4,,,,,,,Grant All Ally Mercenary And Asylum Dreamshapes With No Natural Effects 1 Of A Dreamshapes' Natural Keyword Next Initiative,,,,
Counter,Warp,Asylum,Void,No,2,6,,,,,,,Negate Effect Of Last Played Warp That Costs 6 Or More,,,,
Growth,Warp,Asylum,Flora,No,1,5,,,,,,,Give A Unit 2 Defense For Each Flora Dreamshape On The Field,,,,
Med Station,Warp,Asylum,Flora,No,2,3,,,,,,,Give 2 Dreamshapes 2 Defense,,,,
Medkit,Warp,Asylum,Flora,No,1,2,,,,,,,Give 2 Defense To A Dreamshape,,,,
Never Die,Warp,Asylum,Void,No,1,1,,,,,,,All Dreamshapes That Die Next Initiative Are Shuffled Back Into The Owner's Deck,,,,
Surplus,Warp,Asylum,Void,No,1,2,,,,,,,Gain 1 Energy For Every Void Card Including This One Played This Turn,,,,
Disrupt,Warp,Authority,Void,No,1,5,,,,,,,Negate Effect Of Last Played Distort Or Warp With 5 Or Less Cost,,,,
Halt,Warp,Authority,Flora,No,1,3,,,,,,,Target Dreamshape Cannot Attack Next Initiative,,,,
Loop,Warp,Authority,Animalistic,No,1,6,,,,,,,Repeat Next Initiative After It; Do Not Duplicate Warps; Add An Action Window In Between,,,,
Reuse,Warp,Authority,Void,Yes,1,1,,,,,,,Use Another Distort Or Warp From Your Hand Paying Its Cost And Then Return That Card To Your Hand,,,,
Sell,Warp,Authority,Void,No,1,0,,,,,,,Blink Gain 3 Energy; Discard 1 Card From Hand,,,,
Devastating Blow,Warp,Havoc,Elemental,Yes,1,7,,,,,,,Deal 7 Damage To A Unit Or Player,,,,
Denied,Warp,Havoc,Elemental,No,1,0,,,,,,,Destroy Ally Dreamshape Take 2 Less Backlash Damage,,,,
Frenzy,Warp,Havoc,Animalistic,No,1,9,,,,,,,Give All Animalistic Dreamshapes Bash For The Rest Of Turn,,,,
Foresight,Warp,Havoc,Void,No,1,4,,,,,,,Enemy Player Reveals Thier Hand; You Choose 1 To Discard; Enemy Draws A Card,,,,
Hand Of Might,Warp,Havoc,Animalistic,No,1,3,,,,,,,Deal 3 Damage To A Dreamshape Or Token,,,,
Ritual,Warp,Havoc,Void,No,1,3,,,,,,,If Target Dreamshape Dies Next Intiative The Opponents Of The Owner Of This Card Discard 2 From Their Deck,,,,
Sacrifice,Warp,Havoc,Elemental,No,1,9,,,,,,,Sacrifice Ally Dreamshape To Destroy An Enemy Dreamshape,,,,
Smite,Warp,Havoc,Elemental,No,1,1,,,,,,,Deal 1 Damage To A Dreamshape Or Token; If It Kills A Dreamshape Draw A Card,,,,
Suprise Attack,Warp,Havoc,Animalistic,No,1,4,,,,,,,Target Dreamshape Gains Bash For 1 Attack,,,,
Adrenaline Shot,Warp,Outlander,Animalistic,No,1,2,,,,,,,Remove 1 Defense From Ally Dreamshape; Give 2 Damage To Ally Dreamshape,,,,
Engineer Kit,Warp,Outlander,Mechanical,No,1,3,,,,,,,Give 2 Defense And 2 Attack To A Dreamshape,,,,
Fish Bait,Warp,Outlander,Shadow,No,1,4,,,,,,,"Sacrifice Up To 3 Units With [Wormy] In Their Name; Play A Fish Token (I3, B3, A3, D3) In The Same Space As The Sacrifices; Pay No Backlash For Sacrifices",,,,
Immunity,Warp,Outlander,Void,No,1,3,,,,,,,Negate Last Effect Targeting An Ally Dreamshape,,,,
No Outsiders,Warp,Outlander,Elemental,No,1,6,,,,,,,Deal 2 Damage To All Units That Are Not Outlander,,,,
Benefactor Revoked,Warp,Sect13,Shadow,No,1,3,,,,,,,Treat All Dreamshapes As If They Had No Natural Effects For The Rest Of This Combat Phase,,,,
CHANGE PLACES!!,Warp,Sect13,Shadow,No,3,2,,,,,,,2 Allies Swap Places Or 2 Enemies Swap Places,,,,
Conquer,Warp,Sect13,Elemental,No,1,1,,,,,,,For Each Enemy Death Until The End Of Next Initiative The Opponent Takes Away 1 Morale,,,,
Dodge,Warp,Sect13,Mechanical,Yes,1,1,,,,,,,Enemy Dreamshape Deals 0 Damage On Next Attack,,,,
Haste,Warp,Sect13,Shadow,No,1,2,,,,,,,Give All Shadow Units Swift For The Turn,,,,
Jammer,Warp,Sect13,Shadow,No,1,3,,,,,,,Negate All Enemy's On Spawn Effects This Turn,,,,
Mitigate,Warp,Sect13,Shadow,No,2,2,,,,,,,Target Dreamshape Loses 1 Natural Keyword,,,,
Reattach,Warp,Sect13,Void,No,1,1,,,,,,,Move An Ally Attachment To An Ally Dreamshape Or An Enemy Attachment To An Enemy Dreamshape,,,,
Rearrange,Warp,Sect13,Flora,No,1,3,,,,,,,Swap A Dreamshape's Defense And Attack,,,,
Shock,Warp,Sect13,Elemental,No,1,3,,,,,,,Deal 1 Morale Damage To An Opponent For Every Elemental Unit That Is In Play,,,,
Stomp,Warp,Sect13,Elemental,No,1,3,,,,,,,Deal 1 Damage To All Units,,,,
Steal,Warp,Sect13,Shadow,No,1,2,,,,,,,When Target Ally Dreamshape Attacks This Turn Gain The Natural Effects Of The First Defending Dreamshape And They Lose Their Natural Effects For The Rest Of The Turn,,,,
Trapdoor,Warp,Sect13,Shadow,No,2,5,,,,,,,When Playing This Card In Response To A Dreamshape Being Played Place Dreamshape In Discard; Opponent Does Not Take Backlash Damage,,,,
Deflectors,Attachment,Authority,Mechanical,No,1,2,,,,,,,Give Dreamshape Deflect,,,,
Mass Restore,Distort,Asylum,Flora,No,3,6,,,,,,,Return All Friendly Dreamshapes Back To Default Defense,,,,
Nurture,Distort,Asylum,Void,No,3,9,,,,,,,Set An Ally Unit's Backlash To 0,,,,
Mastery Of All Things,Distort,Asylum/Authority/Havoc/Outlander/Sect13,Void,No,1/1/1/1/1,2,,,,,,,Gain Dedication[5] For One Faction For The Turn,,,,
Push,Distort,Authority,Shadow,No,2,2,,,,,,,Move An Enemy One Space To The Left Or Right,,,,
Reposes,Distort,Authority,Mechanical,No,1,1,,,,,,,Destory All Attachments Then Add Armor Equal To Number Destroyed Attachments To A Unit,,,,
(No) Fly Zone,Distort,Authority,Mechanical,No,1,4,,,,,,,Give A Dreamshape Flying Or Remove Flying From A Dreamshape,,,,
Summon,Distort,Havoc,Void,No,2,5,,,,,,,Discard 3 Cards To Play A Dreamshape From Your Hand For Half Of Its Cost Rounding Up,,,,
Follow Suit,Distort,Havoc,Void,No,1,2,,,,,,,"Exile As Many Cards From Your Discard As You Want, Discard An Equal Number Of Cards From Your Deck",,,,
Traitor,Distort,Mercenary,Void,No,0,1,,,,,,,Your Next Played Dreamshape May Ignore Its Faction Restrictions As Long As You Pay 1 Extra Energy For Each Dedication Printed On The Card,,,,
Territory Control,Distort,Mercenary,Void,No,0,5,,,,,,,All Opponents Lose Morale Equal To Your Number Of Dedication From Chosen Faction,,,,
Cast Aside,Distort,Mercenary,Void,No,0,1,,,,,,,"Exile As Many Cards In Your Hand As You Like, Gain 1 Dedication Of Matching Faction Type For Each Exiled Card",,,,
Lack Of Discipline,Distort,Outlander,Void,No,1,3,,,,,,,All Dreamshapes Played This Turn Cost One Extra Dedication To Each Faction Trait,,,,
Call In Support,Distort,Outlander,Void,No,4,2,,,,,,,If You Have 6 Ally Dreamshapes In Play You May Play A Distort Or Warp With A 8 Cost Or Less For Free,,,,
Search And Rescue,Distort,Outlander,Void,No,2,5,,,,,,,"Search Your Deck For A Dreamshape That Costs 6 Or Less And Play It With Blink; The Opponents Then Reveals The Top Card Of Thier Deck, If It Is A Dreamshape They May Play It For Free Otherwise Put It Into Their Hand",,,,
Rid,Distort,Sect13,Void,No,1,1,,,,,,,Discard The Top 4 Cards Of Owner's Deck,,,,
,Distort,Sect13/Havoc,,,4,6,,,,,,,Discard 7 Cards From hand To Play A Dreamshape From Your Hand For Free With Blink,,,,
Pitfall,Dreamplane,Havoc/Sect13,Elemental,No,,,,,,,1,2,Deal 1 Damage To A Dreamshape Or Deal 2 Morale Damage,,,,
White Room,Dreamplane,Mercenary,Void,No,,,,,,,2,0,Swap This Card With A Dreamplane From The Discard Gaining The Mentality From Both Cards,,,,
Bureaucracy Center,Dreamplane,Authority,,,,,,,,,1,2,You May Draw A Card Then Put One On The Bottom Of Your Deck Every Time Your Opponent Uses A Warp Or Distort,,,,
Tidal Wave,Dreamplane,Havoc,,,,,,,,,2,1,Deal 1 Damage To All Enemy Units,,,,
Alleyway,Dreamplane,Sect13,,,,,,,,,0,2,Apply 3 Stacks Of Poison To All Unts That Are Not Shadow,,,,
Rat Breeding Ground,Dreamplane,Havoc,,,,,,,,,4,0,Pass This Dreamplane To Spawn a Rat Token,,,,
Party Center,Dreamplane,Asylum,,,,,,,,,1,2,Pass This Dreamplane To Gain 3 Morale,,,,
Summoning Circle,Dreamplane,Sect13,,,,,,,,,2,1,On Turn End Return An Ally Dreamshape That Died This Turn To Play In The Same Spot,,,,
Landfill,Dreamplane,Asylum,,,,,,,,,0,1,On Turn End You May Exile ONe Enemy Dreamshape,,,,
Fresh Dirt Field,Dreamplane,Outlander,,,,,,,,,1,1,During Your Placement You May Place Two Worm Tokens,,,,
Absorber,Dreamshape,Asylum,Flora,No,2,8,4,4,4,8,,,Deflect; Drain[2],,,,
Wall Of Rubber,Dreamshape,Asylum,Mechanical,No,3,7,2,3,0,10,,,Drain[2]; Revenge,,,,
Vinemesh,Dreamshape,Asylum,Flora,No,4,18,3,10,0,30,,,End Of Turn Put A Counter On This Card At The Start Of Placement; Active Remove 3 Or More Counters To Return This Card To Your Hand And Gain Morale Equal To Its Defense,,,,
Jet,Dreamshape,Asylum,Mechanical,No,3,10,4,7,9,8,,,Flying,,,,
Riot Guard,Dreamshape,Asylum,Flora,No,3,5,4,6,0,6,,,Active All Dreamshapes Have Defender,,,,
Secret Agent,Dreamshape,Asylum,Elemental,No,2,6,4,3,6,2,,,Spy; Defender,,,,
Sprooce,Dreamshape,Asylum,Void,No,1,5,4,5,1,12,,,Home(2),,,,
Calypts,Dreamshape,Asylum,Void,No,2,6,1,4,2,7,,,Home(2); On Spawn Refund 2 Energy Cost To Place This Dreamshape,,,,
Umbralia,Dreamshape,Authority,Void,No,3,7,1,4,5,4,,,Deflect; Active When Targeted By An Affect You May Pay 3 Energy To Negate The Effect,,,,
Skunkt,Dreamshape,Authority,Elemental,No,2,4,2,3,3,3,,,Deflect,,,,
Saver,Dreamshape,Authority,Void ,No,2,3,4,3,1,2,,,End Of Turn Add Up To 2 Unspent Energy To Your Energy Pool At The Start Of Next Turn,,,,
Dirty Magistrate,Dreamshape,Authority,Shadow,No,5,18,1,12,7,7,,,Lethal; Barrier; On Spawn You May Play A Sect13 Dreamshape Or Warp From Your Discard For Free With Blink,,,,
Vers,Dreamshape,Authority,Elemental,No,3,6,3,4,6,3,,,On Spawn Deal 2 Damage To An Enemy Unit Or Return A 3 Cost Or Less To The Owner's Hand,,,,
Firefly,Dreamshape,Authority,Void,No,1,2,1,2,1,2,,,Flying; Recharge[1],,,,
Warmachine,Dreamshape,Authority,Mechanical,No,2,8,4,6,5,5,,,Flying; Ranged,,,,
Shepard,Dreamshape,Authority,Void,No,2,4,1,4,2,2,,,"Raise; On Spawn Draw 1 Card, You May Discard It",,,,
Militia,Dreamshape,Authority,Animalistic,No,1,3,2,3,6,1,,,Defender,,,,
Morty,Dreamshape,Authority,Mechanical,No,1,6,2,5,8,3,,,Defender; On Spawn You May Reduce Attack By 4 To Negate Defender On This Dreamshape,,,,
Hely,Dreamshape,Authority,Mechanical,No,2,12,4,8,12,5,,,Flying,,,,
Hovercraft,Dreamshape,Authority,Mechanical,No,2,5,1,6,6,6,,,Reimagine[2][Branch]; Reimagine[2][Flying],,,,
Harvester,Dreamshape,Authority,Void,No,1,2,2,2,0,4,,,Home(2),,,,
Storm Flyer,Dreamshape,Authority/Outlander,Elemental,No,1/1,4,2,2,2,2,,,Flying; Deflect,,,,
Lazy Striker,Dreamshape,Havoc,Animalistic,No,2,8,2,7,16,6,,,Defender,,,,
Clipper,Dreamshape,Havoc,Animalistic,No,3,6,1,6,5,2,,,Flying; On Death Destroy All Dreamshapes With Flying,,,,
AA Gunnery,Dreamshape,Havoc,Mechanical,No,1,5,2,5,4,2,,,Branch; Ranged,,,,
Pawn,Dreamshape,Havoc,Animalistic,No,3,5,1,7,7,1,,,Spy,,,,
Vanquisher,Dreamshape,Havoc,Void,No,1,4,3,4,5,4,,,On Death Exile The Top 2 Cards From Each Player's Decks,,,,
Eraser,Dreamshape,Havoc,Animalistic,No,2,7,2,6,8,3,,,Kill[Exile Dying Unit],,,,
Eternum,Dreamshape,Havoc,Elemental,No,2,3,4,3,0,1,,,Raise; Castor; On Death Deal 3 Damage To Attacker,,,,
Snapper,Dreamshape,Havoc,Void,No,3,7,2,5,8,8,,,Raise; On Death Exile This Card,,,,
Stabber,Dreamshape,Havoc,Animalistic,No,2,4,1,6,6,2,,,Critical,,,,
Meerk'kat,Dreamshape,Havoc,Animalistic,No,1,3,1,3,4,1,,,Critical; Burrow,,,,
Forsaker,Dreamshape,Mercenary,Mechanical,No,0,8,3,5,0,6,,,On Spawn Gain Damage Equal To The Number Of Exiled Cards You Own,,,,
Koptor,Dreamshape,Mercenary,Mechanical,No,0,4,1,4,2,3,,,Flying,,,,
Love,Dreamshape,Mercenary,Void,No,0,3,1,2,1,3,,,Active Asylum Dedication[1],,,,
Passion,Dreamshape,Mercenary,Void,No,0,3,1,2,1,3,,,Active Authority Dedication[1],,,,
Anger,Dreamshape,Mercenary,Void,No,0,3,1,2,1,3,,,Active Havoc Dedication[1],,,,
Unity,Dreamshape,Mercenary,Void,No,0,3,1,2,1,3,,,Active Outlander Dedication[1],,,,
Jealousy,Dreamshape,Mercenary,Void,No,0,3,1,2,1,3,,,Active Sect13 Dedication[1],,,,
Consumer,Dreamshape,Mercenary,Void,No,0,8,2,6,5,5,,,"On Spawn Exile As Many Cards In Your Hand As You Like, Gain 1 Attack And 1 Defense For Every Ally Exiled Card In The Game",,,,
Supplier,Dreamshape,Outlander,Void,No,1,3,1,2,1,3,,,Active Gain 1 Dedication Of The Same Faction Traits Of Played Cards This Turn,,,,
Clonie,Dreamshape,Outlander,Flora,No,1,2,4,2,0,1,,,Active At The Start Of Placement You May Clone This Dreamshape To An Available Ally Space,,,,
Gorger,Dreamshape,Outlander,Flora,No,8,15,2,15,25(13),25(10),,,Overkill; Kill[Gain Defense Equal To Dying Cards Default Defense],,,,
Chump,Dreamshape,Outlander,Flora,No,1,1,3,2,0,1,,,None,,,,
Pestor,Dreamshape,Outlander,Mechanical,No,2,4,4,2,1,1,,,Flying; Active May Move To An Available Space Any Time You Can Use A Warp,,,,
Oinkster,Dreamshape,Outlander,Flora,No,1,5,3,5,5,4,,,Reimagine[2][Flying],,,,
Flare Dummy,Dreamshape,Outlander,Mechanical,No,1,2,4,3,0,1,,,Flying; Castor,,,,
Goofor,Dreamshape,Outlander,Mechanical,No,1,3,4,3,2,2,,,Burrow; Home(1),,,,
Holey,Dreamshape,Outlander,Mechanical,No,1,3,2,3,3,1,,,Burrow,,,,
Subground Tank,Dreamshape,Outlander,Mechanical,No,2,6,3,5,6,4,,,Burrow,,,,
Tunneling Terror,Dreamshape,Outlander,Mechanical,No,2,9,4,7,9,6,,,Burrow,,,,
Tort,Dreamshape,Sect13,Void,Yes,1,4,2,3,4,4,,,End Of Turn Dreamshape Is Returned To Default Defense And Attack,,,,
Bat'ra,Dreamshape,Sect13,Shadow,No,1,3,4,3,3,2,,,Flying,,,,
Saboteur,Dreamshape,Sect13,Shadow,No,2,3,4,6,2,2,,,Spy,,,,
Grave Digger,Dreamshape,Sect13,Void,No,3,6,2,5,4,6,,,"Once Per Turn Exile 3 Cards From Your Discard, You May Add 1 Keyword From An Exiled Dreamshape Or Gain 1 Attack And 1 Defense For Each Exiled Dreamshape",,,,
Skelle,Dreamshape,Sect13,Void,No,2,7,4,4,4,4,,,On Death Exile This Card; You Can Play This Card From The Graveyard For Free,,,,
Ticking Time Bomb,Dreamshape,Sect13,Elemental,No,3,13,4,0,0,12,,,"Volatile[2]; At The End Of Every Initiative Add 2 Counters; On Death Deal The Number Of Counters In Damage To all Units In Play, Ally Sect13 Dreamshapes Deal No Backlash Damage",,,,
Chomper,Dreamshape,Sect13,Animalistic,No,4,7,2,5,8,2,,,Defender; Lethal,,,,
Twin Disruptors,Dreamshape,Sect13,Shadow,No,2,4,1,1,1,1,,,Spy; On Spawn Search The Deck For Another Copy Of This Card And Put It Into Your Hand,,,,
Spore Launcher,Dreamshape,Sect13,Flora,No,1,6,2,5,6,5,,,Branch,,,,
Zombob,Dreamshape,Sect13,Void,No,2,4,3,4,4,4,,,Raise,,,,
Hollo,Dreamshape,Sect13,Void,No,2,2,2,2,2,2,,,On Spawn Discard As Many Cards From Your Hand As You Like,,,,
Mad Doc,Dreamshape,Sect13,Void,No,2,4,3,3,3,3,,,Raise; On Death Search Your Deck For Another Card With Raise And Place It Into Your Discard,,,,
Puppet Master,Dreamshape,Sect13,Void,No,1,5,2,5,6,6,,,On Spawn Discard 1 Card From Your Hand,,,,
Rotter,Dreamshape,Sect13,Void,No,3,5,3,6,7,4,,,Raise; On Spawn Discard 1 Card From The Top Of Your Deck,,,,
Avoider,Dreamshape,Sect13,Animalistic,No,2,7,1,6,4,10,,,Critical,,,,
Zommie,Dreamshape,Sect13,Shadow,No,1,2,1,2,2,1,,,Critical; Raise,,,,
Tut,Dreamshape,Sect13,Shadow,No,2,6,1,0,0,1,,,Spy; Burrow,,,,
Spitting Seed,Dreamshape,Sect13,Flora,No,2,6,4,1,0,5,,,Raise; End Of Turn If Your Main Deck Is Empty Gain 2 Morale,,,,
Extra Killer,Dreamshape,Authority,Elemental,No,3,5,1,4,4,4,,,On Spawn All Tokens Lose 1 Attack And 1 Defense; Active Enemy Tokens With Two Or Less Attack Cannot Enter Play,,,,
Armor Mimic,Dreamshape,Asylum,Flora,No,3,6,2,3,3,3,,,Castor; When Playing This Card In Response To A Dreamshape This Dreamshape Copies Its Defense,,,,
Steam Vent,Landmark,Asylum,Mechanical,No,2,6,,,,,,,Occupied Give Occupying Dreamshape Flying,,,,
Security Tower,Landmark,Authority,Animalistic,No,2,4,,,,,,,Active Once Per Turn During Placement You May Pay 1 Energy To Deal 2 Damage  To A Unit In |; Occupied Once Per Turn During Placement You May Pay 1 Energy To Deal 2 Damage To All Units In |,,,,
Lightning Rod,Landmark,Authority,Void,No,1,5,,,,,,,Occupied Give Occupying Dreamshape Gains Deflect,,,,
Acid Vat,Landmark,Havoc,Void,No,1,1,,,,,,,Spy; Occupied Give Occupying Dreamshape On Death Cancel All On Death Effects (Still Take Backlash) And Exile This Card,,,,
Bear Trap,Landmark,Outlander,Shadow,No,1,1,,,,,,,Occupied If Occupying Dreamshape Is Moved It Takes 4 Damage; Spy,,,,
Slide,Warp,Asylum,Shadow,No,2,2,,,,,,,Move An Ally Unit One Space To The Left Or Right,,,,
Hunker Down,Warp,Asylum,Void,No,2,3,,,,,,,Negate One Targeting Warp That Is Targeting Your Unit,,,,
Guard,Warp,Asylum,Void,No,1,6,,,,,,,Negate Distort Or Warp That Have 2 Dedication Or Less; If You Have Asylum Dedication[5] You May Play This Card For Free,,,,
Save The Weak,Warp,Asylum,Elemental,No,3,7,,,,,,,Reduce All Allies Damage By 2; Destroy All Dreamshapes With 5 Or More Attack,,,,
